ID,READING_DATETIME,CALENDAR_KEY,EVENT_KEY,GENERAL_SUPPLY_KWH,CONTROLLED_LOAD_KWH,GROSS_GENERATION_KWH,NET_GENERATION_KWH,OTHER_KWH
10006414,2013-05-01 07:00:00,296311,0,0.125,0,0,0,0
10006414,2013-05-01 07:30:00,296314,0,0.213,0,0,0,0
10006414,2013-05-01 08:00:00,296317,0,0.13,0,0,0,0
10006414,2013-05-01 08:30:00,296320,0,0.078,0,0,0,0
10006414,2013-05-01 09:00:00,296323,0,0.12,0,0,0,0
10006414,2013-05-01 09:30:00,296326,0,0.132,0,0,0,0
10006414,2013-05-01 10:00:00,296329,0,0.315,0,0,0,0
10006414,2013-05-01 10:30:00,296332,0,0.281,0,0,0,0
10006414,2013-05-01 11:00:00,296335,0,0.137,0,0,0,0
10006414,2013-05-01 11:30:00,296338,0,0.562,0,0,0,0
10006414,2013-05-01 12:00:00,296341,0,0.456,0,0,0,0
10006414,2013-05-01 12:30:00,296857,0,0.439,0,0,0,0
10006414,2013-05-01 13:00:00,296860,0,0.406,0,0,0,0
10006414,2013-05-01 13:30:00,296863,0,0.254,0,0,0,0
10006414,2013-05-01 14:00:00,296866,0,0.049,0,0,0,0
10006414,2013-05-01 14:30:00,296869,0,0.049,0,0,0,0
10006414,2013-05-01 15:00:00,296872,0,0.08,0,0,0,0
10006414,2013-05-01 15:30:00,296875,0,0.089,0,0,0,0
10006414,2013-05-01 16:00:00,296878,0,0.091,0,0,0,0
10006414,2013-05-01 16:30:00,296881,0,0.109,0,0,0,0
10006414,2013-05-01 17:00:00,296884,0,0.147,0,0,0,0
10006414,2013-05-01 17:30:00,296887,0,0.086,0,0,0,0
10006414,2013-05-01 18:00:00,296890,0,0.157,0,0,0,0
10006414,2013-05-01 18:30:00,296893,0,0.336,0,0,0,0
10006414,2013-05-01 19:00:00,296896,0,0.294,0,0,0,0
10006414,2013-05-01 19:30:00,296899,0,0.161,0,0,0,0
10006414,2013-05-01 20:00:00,296902,0,0.145,0,0,0,0
10006414,2013-05-01 20:30:00,296905,0,0.116,0,0,0,0
10006414,2013-05-01 21:00:00,296908,0,0.14,0,0,0,0
10006414,2013-05-01 21:30:00,296911,0,0.1,0,0,0,0
10006414,2013-05-01 22:00:00,296914,0,0.101,0,0,0,0
10006414,2013-05-01 22:30:00,296917,0,0.081,0,0,0,0
10006414,2013-05-01 23:00:00,296920,0,0.28,0,0,0,0
10006414,2013-05-01 23:30:00,296923,0,0.314,0,0,0,0
10006414,2013-05-02 00:00:00,296926,0,0.321,0,0,0,0
10006414,2013-05-02 00:30:00,296929,0,0.292,0,0,0,0
10006414,2013-05-02 01:00:00,296932,0,0.301,0,0,0,0
10006414,2013-05-02 01:30:00,296935,0,0.287,0,0,0,0
10006414,2013-05-02 02:00:00,296938,0,0.229,0,0,0,0
10006414,2013-05-02 02:30:00,296941,0,0.131,0,0,0,0
10006414,2013-05-02 03:00:00,296944,0,0.057,0,0,0,0
10006414,2013-05-02 03:30:00,296947,0,0.133,0,0,0,0
10006414,2013-05-02 04:00:00,296950,0,0.096,0,0,0,0
10006414,2013-05-02 04:30:00,296953,0,0.06,0,0,0,0
10006414,2013-05-02 05:00:00,296956,0,0.056,0,0,0,0
10006414,2013-05-02 05:30:00,296959,0,0.052,0,0,0,0
10006414,2013-05-02 06:00:00,296962,0,0.052,0,0,0,0
10006414,2013-05-02 06:30:00,296965,0,0.123,0,0,0,0
10006414,2013-05-02 07:00:00,296968,0,0.265,0,0,0,0
10006414,2013-05-02 07:30:00,296971,0,0.168,0,0,0,0
10006414,2013-05-02 08:00:00,296974,0,0.124,0,0,0,0
10006414,2013-05-02 08:30:00,296977,0,0.094,0,0,0,0
10006414,2013-05-02 09:00:00,296980,0,0.103,0,0,0,0
10006414,2013-05-02 09:30:00,296983,0,0.058,0,0,0,0
10006414,2013-05-02 10:00:00,296986,0,0.051,0,0,0,0
10006414,2013-05-02 10:30:00,296989,0,0.054,0,0,0,0
10006414,2013-05-02 11:00:00,296992,0,0.056,0,0,0,0
10006414,2013-05-02 11:30:00,296995,0,0.055,0,0,0,0
10006414,2013-05-02 12:00:00,296998,0,0.055,0,0,0,0
